RIdentifier,FullAcceptedName,Species level,Native species
443600,Aegilops bicornis (Forssk.) Jaub. & Spach,Yes,yes
442529,Aegilops biuncialis Vis.,Yes,yes
466609,Aegilops biuncialis subsp. archipelagica (Eig) Raus,no,NE
466608,Aegilops biuncialis Vis. subsp. biuncialis,no,NE
442535,Aegilops caudata L.,Yes,yes
442541,Aegilops caudata L. subsp. caudata,no,NE
466616,Aegilops caudata subsp. polyathera (Boiss.) Zhuk.,no,NE
442542,Aegilops columnaris Zhuk.,Yes,no
442543,Aegilops comosa Sm.,Yes,yes
443293,Aegilops comosa Sm. subsp. comosa,no,NE
443294,Aegilops comosa subsp. heldreichii (Boiss.) Eig,no,NE
442545,Aegilops crassa Boiss.,Yes,no
442546,Aegilops cylindrica Host,Yes,yes
442549,Aegilops geniculata Roth,Yes,yes
442558,Aegilops juvenalis (Thell.) Eig,Yes,no
442560,Aegilops kotschyi Boiss.,Yes,yes
442562,Aegilops neglecta Bertol.,Yes,yes
442570,Aegilops peregrina (Hack.) Maire & Weiller,Yes,yes
466644,Aegilops peregrina subsp. cylindrostachys (Eig & Feinbrun) Maire & Weiller,no,NE
443299,Aegilops peregrina (Hack.) Maire & Weiller subsp. peregrina,no,NE
442579,Aegilops speltoides Tausch,Yes,yes
442581,Aegilops speltoides subsp. ligustica (Savign.) Zhuk.,no,NE
466650,Aegilops speltoides Tausch subsp. speltoides,no,NE
442588,Aegilops tauschii Coss.,Yes,yes
448934,Aegilops tauschii Coss. subsp. tauschii,no,NE
442590,Aegilops triuncialis L.,Yes,yes
466663,Aegilops triuncialis subsp. persica (Boiss.) Zhuk.,no,NE
448937,Aegilops triuncialis L. subsp. triuncialis,no,NE
442594,Aegilops umbellulata Zhuk.,Yes,yes
442595,Aegilops uniaristata Vis.,Yes,yes
442597,Aegilops vavilovii (Zhuk.) Chennav.,Yes,no
442600,Aegilops ventricosa Tausch,Yes,yes
442613,Agropyron cimmericum Nevski,Yes,yes
442615,Agropyron cristatum (L.) Gaertn.,Yes,yes
466674,Agropyron cristatum subsp. brandzae (Pan?u & Solacolu) Melderis,no,NE
442619,Agropyron cristatum (L.) Gaertn. subsp. cristatum,no,NE
534225,Agropyron cristatum subsp. kazachstanicum Tzvelev,no,NE
466677,Agropyron cristatum subsp. pectinatum (M. Bieb.) Tzvelev,no,NE
443316,Agropyron cristatum subsp. ponticum (Nevski) Tzvelev,no,NE
