work_species,work_genus,work_author,work_ID
Agropyron cristatum,Agropyron,(L.) Gaertn.,1193
Agrostis capillaris,Agrostis,L.,1210
Agrostis stolonifera,Agrostis,L.,1260
Allium sativum,Allium,L.,1564
Allium schoenoprasum,Allium,L.,1566
Alopecurus pratensis,Alopecurus,L.,1694
Armoracia rusticana,Armoracia,"G.Gaertn., B.Mey. & Scherb.",3359
Arrhenatherum elatius,Arrhenatherum,(L.) P.Beauv. ex J.Presl & C.Presl,3376
Asparagus officinalis,Asparagus,L.,3634
Astragalus cicer,Astragalus,L.,4086
Atriplex halimus,Atriplex,L.,4287
Beta vulgaris,Beta,L.,5071
Brassica napus,Brassica,L.,5810
Brassica nigra,Brassica,(L.) W.D.J.Koch,5811
Brassica oleracea,Brassica,L.,5812
Brassica rapa,Brassica,L.,5815
Castanea sativa,Castanea,Mill.,8426
Cichorium endivia,Cichorium,L.,9595
Cichorium intybus,Cichorium,L.,9596
Citrullus lanatus,Citrullus,(Thunb.) Matsum. & Nakai,9787
Corylus avellana,Corylus,L.,11218
Corylus colurna,Corylus,L.,11219
Crambe hispanica,Crambe,L.,11414
Cucumis sativus,Cucumis,L.,12121
Cynara cardunculus,Cynara,L.,12750
Dactylis glomerata,Dactylis,L.,13225
Daucus carota,Daucus,L.,13476
Eleusine coracana,Eleusine,(L.) Gaertn.,16208
Eragrostis tef,Eragrostis,(Zuccagni) Trotter,16718
Festuca heterophylla,Festuca,Lam.,18375
Festuca ovina,Festuca,L.,18395
Festuca rubra,Festuca,L.,18402
Ficus carica,Ficus,L.,18448
Helianthus annuus,Helianthus,L.,21166
Hordeum vulgare,Hordeum,L.,22334
Humulus lupulus,Humulus,L.,22441
Juglans nigra,Juglans,L.,23933
Juglans regia,Juglans,L.,23934
Lathyrus sativus,Lathyrus,L.,24886
Lens culinaris,Lens,,25039
Lepidium sativum,Lepidium,L.,25297
Lolium perenne,Lolium,L.,26585
Lolium rigidum,Lolium,Gaudin,26588
Lolium temulentum,Lolium,L.,26590
Lotus corniculatus,Lotus,L.,26744
Lotus subbiflorus,Lotus,Lag.,26786
Lupinus albus,Lupinus,L.,26883
Lupinus angustifolius,Lupinus,L.,26884
Lupinus luteus,Lupinus,L.,26896
Medicago arborea,Medicago,L.,28074
Medicago falcata,Medicago,L.,28079
Medicago rigidula,Medicago,(L.) All.,28095
Medicago sativa,Medicago,L.,28097
Medicago scutellata,Medicago,(L.) Mill.,28098
Medicago truncatula,Medicago,Gaertn.,28105
Melilotus albus,Melilotus,Medik.,28385
Melilotus officinalis,Melilotus,(L.) Lam.,28393
Myrtus communis,Myrtus,L.,29961
Olea europaea,Olea,L.,30777
Onobrychis viciifolia,Onobrychis,Scop.,30908
Ornithopus sativus,Ornithopus,Brot.,31276
Panicum miliaceum,Panicum,L.,31926
Papaver somniferum,Papaver,L.,32003
Phalaris aquatica,Phalaris,L.,33107
Phalaris arundinacea,Phalaris,L.,33108
Phalaris canariensis,Phalaris,L.,33110
Phleum pratense,Phleum,L.,33259
Phoenix dactylifera,Phoenix,L.,33288
Poa alpina,Poa,L.,35200
Poa pratensis,Poa,L.,35272
Prunus armeniaca,Prunus,L.,36356
Prunus avium,Prunus,(L.) L.,36357
Prunus cerasifera,Prunus,Ehrh.,36361
Prunus dulcis,Prunus,(Mill.) D.A. Webb,36367
Prunus persica,Prunus,(L.) Batsch,36384
Pyrus communis,Pyrus,L.,37489
Raphanus sativus,Raphanus,L.,37901
Ribes nigrum,Ribes,L.,38414
Ribes rubrum,Ribes,L.,38415
Ribes uva-crispa,Ribes,L.,38420
Rubus idaeus,Rubus,L.,39009
Secale cereale,Secale,L.,40826
Setaria italica,Setaria,(L.) P.Beauv.,41358
Sorghum bicolor,Sorghum,(L.) Moench,42229
Trifolium alexandrinum,Trifolium,L.,45656
Trifolium ambiguum,Trifolium,M.Bieb.,45657
Trifolium angustifolium,Trifolium,L.,45658
Trifolium arvense,Trifolium,L.,45660
Trifolium fragiferum,Trifolium,L.,45681
Trifolium hybridum,Trifolium,L.,45689
Trifolium incarnatum,Trifolium,L.,45690
Trifolium pratense,Trifolium,L.,45717
Trifolium repens,Trifolium,L.,45719
Trifolium resupinatum,Trifolium,L.,45720
Trifolium subterraneum,Trifolium,L.,45732
Trifolium vesiculosum,Trifolium,Savi,45739
Trigonella foenum-graecum,Trigonella,L.,45759
Triticum turgidum,Triticum,L.,45916
Vaccinium corymbosum,Vaccinium,L.,46314
Vaccinium macrocarpon,Vaccinium,Aiton,46330
Vicia articulata,Vicia,Hornem.,46763
Vicia narbonensis,Vicia,L.,46795
Vicia pannonica,Vicia,Crantz,46800
Vicia sativa,Vicia,L.,46805
Vitis vinifera,Vitis,L.,47034
Chenopodium quinoa,Chenopodium,Willd.,47954
Salsola imbricata,Salsola,Forssk.,51911
Trifolium alpestre,Trifolium,L.,57696
Triticum monococcum,Triticum,L.,57708
Astragalus arenarius,Astragalus,L.,63466
Agropyron desertorum,Agropyron,(Fisch. ex Link) Schult.,102124
Rubus occidentalis,Rubus,L.,126894
Ribes sativum,Ribes,(Rchb.) Syme,128371
Triticum timopheevii,Triticum,(Zhuk.) Zhuk.,158082
Securigera moravica,Securigera,,366917
Hedysarum songaricum,Hedysarum,Bong.,458506
